iter	Logloss
0	0.6856202294
1	0.6783119697
2	0.6714599893
3	0.6647105058
4	0.6584071982
5	0.652476887
6	0.6470068455
7	0.6420127415
8	0.6375008577
9	0.6326491548
10	0.6279081582
11	0.6241544606
12	0.6204106182
13	0.6167658766
14	0.6131811807
15	0.6097022276
16	0.6065674629
17	0.6036090146
18	0.6006608264
19	0.5978486848
20	0.5951322544
21	0.5927100375
22	0.5905223735
23	0.5883023421
24	0.5860996962
25	0.5840659736
26	0.5822864492
27	0.5806306735
28	0.5788119829
29	0.577057877
30	0.5754668101
31	0.5740507012
32	0.5727240273
33	0.5712466645
34	0.5699124212
35	0.5689249003
36	0.5678995128
37	0.5668724926
38	0.5659257771
39	0.5649066267
40	0.5640520501
41	0.5631339076
42	0.5619521819
43	0.5608665137
44	0.5600724203
45	0.559185535
46	0.558335308
47	0.5574777989
48	0.5566048572
49	0.555909094
50	0.5550562089
51	0.5544016823
52	0.5537410753
53	0.5531273932
54	0.5523434294
55	0.5517866125
56	0.5511426855
57	0.5506533073
58	0.5499463958
59	0.549392877
60	0.5488942575
61	0.5483110228
62	0.5477818907
63	0.5472030317
64	0.5466106929
65	0.5460780275
66	0.5455295571
67	0.5451246504
68	0.5448643262
69	0.5443027547
70	0.543884982
71	0.5434356648
72	0.5429608441
73	0.5425646693
74	0.542058598
75	0.5415539504
76	0.5409833531
77	0.5406404383
78	0.5402813333
79	0.5397517113
80	0.5395853481
81	0.539226674
82	0.5388308715
83	0.5383991421
84	0.5380252249
85	0.5376672497
86	0.5374662984
87	0.5371224954
88	0.5368258329
89	0.5364058789
90	0.5358640244
91	0.5354993941
92	0.5350685334
93	0.5347137518
94	0.5343512246
95	0.534088203
96	0.5337995867
97	0.5335211064
98	0.5333224345
99	0.5330340859
100	0.532654872
101	0.5321482847
102	0.53166291
103	0.5313498417
104	0.5311021484
105	0.5307418873
106	0.5304361403
107	0.5300292155
108	0.5297090872
109	0.529273165
110	0.5290417533
111	0.5287519549
112	0.5285445772
113	0.528181129
114	0.527860524
115	0.5273023356
116	0.5270338411
117	0.5268671709
118	0.5265219246
119	0.5263246307
120	0.5260556072
121	0.5258744121
122	0.5255414636
123	0.52534624
124	0.5250496363
125	0.5248524404
126	0.5246825439
127	0.5244274444
128	0.5240548856
129	0.5237970693
130	0.5233529964
131	0.5231138521
132	0.5229185109
133	0.5227720932
134	0.5225172224
135	0.5221325617
136	0.5217412067
137	0.5213126122
138	0.5209294536
139	0.520652482
140	0.5204005827
141	0.5200311522
142	0.5198167668
143	0.5196230453
144	0.5193796493
145	0.518796284
146	0.5185458869
147	0.5184085015
148	0.5180194977
149	0.5177663772
150	0.5173084651
151	0.5169893884
152	0.5168388497
153	0.5167368948
154	0.5162820458
155	0.51600768
156	0.51552256
157	0.5152749189
158	0.5149682379
159	0.514703773
160	0.5145263921
161	0.5141617161
162	0.5138893749
163	0.5137150896
164	0.5133864646
165	0.5131637522
166	0.5130046383
167	0.5125813143
168	0.5124153363
169	0.5122867939
170	0.5121265959
171	0.5118642928
172	0.5117078631
173	0.511519066
174	0.5113789638
175	0.5110435531
176	0.5107688934
177	0.5105332497
178	0.5103114516
179	0.5100316063
180	0.5097630466
181	0.5092492099
182	0.5090452806
183	0.508929467
184	0.5087826052
185	0.5085600234
186	0.5083846017
187	0.5080307476
188	0.5078884575
189	0.5076426973
190	0.5074307087
191	0.5072448767
192	0.5069249509
193	0.5067368983
194	0.5064028134
195	0.5061163065
196	0.5058757646
197	0.505722411
198	0.5055218059
199	0.5054115502
200	0.5051366489
201	0.504895493
202	0.5045760113
203	0.5043412036
204	0.5039535843
205	0.503777921
206	0.5035673366
207	0.5033030285
208	0.5030900342
209	0.5029072651
210	0.5027279183
211	0.5024995566
212	0.5023425066
213	0.5022005691
214	0.5020261728
215	0.5018512932
216	0.5015118724
217	0.501128015
218	0.5009189197
219	0.500680742
220	0.5005009707
221	0.5003568976
222	0.5002197996
223	0.4999381387
224	0.499768621
225	0.499441165
226	0.4991992777
227	0.4990729101
228	0.4989192626
229	0.49874934
230	0.4985315846
231	0.4983591149
232	0.4980992283
233	0.4977606304
234	0.497548361
235	0.4973570234
236	0.4971278127
237	0.4969102532
238	0.4966440642
239	0.4964019483
240	0.4961696092
241	0.4960554284
242	0.4958705629
243	0.4956717016
244	0.4954297033
245	0.4953391972
246	0.4951257326
247	0.4950554333
248	0.4949078401
249	0.4947397788
250	0.4944731652
251	0.4943286154
252	0.4941557473
253	0.4939917418
254	0.4937579855
255	0.4933583101
256	0.4932086269
257	0.4928901902
258	0.4926075235
259	0.4924364515
