iter	Passed	Remaining
0	4	4650
1	15	7948
2	20	6807
3	25	6327
4	30	6104
5	35	5852
6	40	5731
7	45	5654
8	51	5648
9	56	5586
10	63	5704
11	69	5751
12	75	5766
13	80	5692
14	87	5736
15	95	5861
16	100	5800
17	105	5761
18	110	5698
19	115	5638
20	121	5645
21	128	5691
22	132	5636
23	137	5574
24	142	5571
25	150	5630
26	157	5692
27	162	5636
28	168	5630
29	174	5636
30	179	5611
31	184	5590
32	191	5601
33	196	5593
34	202	5570
35	206	5540
36	212	5529
37	217	5494
38	222	5470
39	229	5502
40	234	5477
41	238	5432
42	242	5392
43	246	5360
44	250	5321
45	253	5264
46	258	5247
47	263	5217
48	267	5184
49	271	5155
50	275	5126
51	279	5100
52	283	5067
53	287	5039
54	291	5003
55	295	4981
56	300	4969
57	305	4954
58	309	4930
59	312	4899
60	316	4872
61	321	4856
62	325	4835
63	328	4809
64	332	4787
65	336	4768
66	340	4741
67	344	4724
68	348	4701
69	352	4685
70	356	4666
71	360	4647
72	364	4628
73	369	4621
74	373	4604
75	377	4593
76	383	4597
77	389	4600
78	393	4586
79	396	4564
80	401	4556
81	405	4541
82	410	4530
83	413	4507
84	417	4489
85	421	4476
86	425	4461
87	429	4448
88	433	4433
89	436	4415
90	440	4399
91	444	4384
92	447	4364
93	451	4348
94	454	4333
95	458	4313
96	460	4288
97	463	4268
98	467	4252
99	470	4236
100	473	4216
101	476	4198
102	479	4179
103	483	4161
104	486	4144
105	491	4141
106	494	4124
107	497	4111
108	501	4097
109	506	4096
110	510	4086
111	514	4076
112	518	4070
113	521	4055
114	525	4043
115	528	4030
116	531	4014
117	534	3998
118	537	3980
119	540	3965
120	543	3949
121	546	3935
122	550	3924
123	553	3909
124	556	3894
125	559	3882
126	562	3868
127	566	3857
128	569	3843
129	572	3830
130	575	3815
131	578	3804
132	582	3795
133	585	3781
134	587	3766
135	590	3751
136	593	3736
137	596	3726
138	600	3716
139	603	3709
140	608	3706
141	612	3700
142	615	3688
143	618	3675
144	621	3666
145	624	3652
146	627	3642
147	630	3630
148	633	3620
149	636	3609
150	640	3599
151	643	3591
152	648	3587
153	651	3576
154	655	3572
155	658	3562
156	662	3557
157	666	3549
158	669	3541
159	673	3533
160	676	3527
161	680	3521
162	684	3513
163	687	3503
164	690	3495
165	693	3486
166	697	3480
167	701	3474
168	704	3464
169	708	3460
170	712	3455
171	716	3447
172	719	3439
173	722	3430
174	726	3426
175	729	3415
176	732	3407
177	735	3395
178	738	3385
179	741	3378
180	744	3369
181	747	3360
182	750	3349
183	753	3341
184	758	3340
185	762	3336
186	766	3330
187	769	3324
188	773	3318
189	775	3307
190	779	3299
191	782	3292
192	785	3285
193	790	3284
194	793	3277
195	799	3277
196	802	3271
197	810	3281
198	815	3281
199	818	3273
200	822	3267
201	826	3263
202	829	3257
203	833	3250
204	836	3244
205	840	3241
206	843	3232
207	846	3223
208	849	3215
209	852	3206
210	856	3201
211	858	3192
212	862	3185
213	865	3177
214	868	3171
215	872	3166
216	875	3159
217	878	3152
218	882	3146
219	885	3139
220	888	3132
221	891	3124
222	894	3117
223	898	3111
224	901	3104
225	905	3102
226	908	3094
227	911	3085
228	914	3077
229	917	3070
230	920	3064
231	924	3059
232	927	3053
233	930	3046
234	933	3039
235	937	3035
236	940	3027
237	943	3020
238	946	3013
239	949	3005
240	952	3001
241	956	2996
242	959	2988
243	962	2981
244	964	2973
245	968	2968
246	971	2961
247	974	2954
248	977	2948
249	980	2942
250	985	2940
251	989	2935
252	992	2929
253	995	2924
254	998	2917
255	1002	2914
256	1006	2908
257	1008	2900
258	1011	2893
259	1014	2886
260	1023	2897
261	1026	2892
262	1030	2886
263	1035	2886
264	1038	2881
265	1041	2875
266	1045	2870
267	1048	2865
268	1052	2860
269	1055	2853
